"Bloomreach Feed","Bloomreach Feed"
Settings,Settings
"Submit Products","Submit Products"
"Submit Products Status","Submit Products Status"
"Module Details","Module Details"
Credentials,Credentials
"Account Id","Account Id"
"Catalog Name","Catalog Name"
"API Key","API Key"
"Submit Data to Bloomreach","Submit Data to Bloomreach"
"Submission History","Submission History"
"Target Environment","Target Environment"
"Submit Product Catalog","Submit Product Catalog"
"Attribute Transformations","Attribute Transformations"
"Name Mappings","Name Mappings"
"Index-value Attributes","Index-value Attributes"
"Variant-only Attributes","Variant-only Attributes"
"Skip Attributes","Skip Attributes"
"Full Feed Submission","Full Feed Submission"
"Delta Feed Submission","Delta Feed Submission"
